time	cam_x	cam_y	cam_z	obj_x	obj_y	obj_z	cam_i	cam_j	cam_k	cam_w	obj_i	obj_j	obj_k	obj_w
3.35	-99.74239933	-301.2564238	72.81146376	-66.17576188	1201.618813	111.2459708	0.003135544	-0.008357815	0.01410598	0.999860659	-0.000226333	-0.005294064	-0.03168655	0.999483809
3.4	-105.134899	-301.2061539	72.70857527	-60.79015106	1201.550089	111.2313069	-0.000143567	-0.0166628	0.015067814	0.999747614	0.00066683	-0.006273162	-0.031595293	0.999480835
3.45	-110.8226448	-301.2347238	72.67181836	-55.93152477	1201.535133	111.3189774	-0.002727763	-0.009817438	0.015506608	0.999827846	-0.000379836	-0.00583247	-0.031844396	0.999475749
3.5	-116.98188	-301.0544849	72.63520123	-51.79140473	1201.502928	111.3264466	0.001403102	-0.013808355	0.013981641	0.999805918	-0.000457324	-0.006066557	-0.031690971	0.999479199
3.55	-120.8985831	-300.9956887	72.5427382	-48.50353233	1201.448263	111.3563829	-0.000878151	-0.017540652	0.013531757	0.999754193	0.00020762	-0.005576779	-0.030214351	0.999527863
3.6	-126.5606961	-301.0907074	72.83362783	-44.35987573	1201.423881	111.4244462	0.003278932	-0.002397328	0.013696005	0.999897955	-0.00044838	-0.005802665	-0.030749989	0.999510163
3.65	-132.1953765	-300.9637637	72.61777377	-40.53292958	1201.336616	111.4438748	0.001020766	-0.015036163	0.015237608	0.999770317	0.000209079	-0.005609473	-0.029990521	0.999534421
3.7	-137.8581332	-300.9039278	72.56111283	-36.43802122	1201.388987	111.3889761	0.000157365	-0.013098922	0.014802386	0.999804622	0.001836639	-0.008147885	-0.033291697	0.999410777
3.75	-142.8219459	-300.9316291	72.53800265	-30.94310825	1201.336754	111.4261023	-0.001849119	-0.009586503	0.015814451	0.999827277	0.001649184	-0.007031073	-0.034514935	0.999378088
3.8	-147.8858375	-300.8692622	72.50248571	-24.81316631	1201.280773	111.4443949	-0.002168863	-0.01172954	0.016445212	0.999793613	0.001644504	-0.007416531	-0.033840274	0.999398382
3.85	-153.0380228	-300.8289506	72.57159435	-19.22714414	1201.215111	111.4322927	-0.00064196	-0.012566945	0.016501785	0.999784652	0.004045752	-0.008008089	-0.032740558	0.999423613
3.9	-157.6950707	-300.7500286	72.52308804	-13.69956319	1201.268423	111.5498407	0.000513034	-0.015827114	0.014489742	0.999769617	0.000938378	-0.005234757	-0.02972089	0.999544089
3.95	-161.6867433	-300.7025989	72.46011873	-7.769256297	1201.233102	111.5884004	-0.000491181	-0.014431101	0.014761233	0.999786781	0.000888799	-0.007138845	-0.030161334	0.999519155
4	-167.6573396	-300.7129866	72.44081397	-1.745850586	1201.137331	111.6198813	-0.001224912	-0.01238191	0.01595055	0.999795363	0.001185593	-0.006590795	-0.030724417	0.999505461
4.05	-173.528028	-300.6866005	72.41750946	4.580911233	1201.117816	111.6907155	-0.000942666	-0.011193815	0.012917895	0.999853458	5.02E-05	-0.0064748	-0.030971284	0.999499302
4.1	-179.5003037	-300.662881	72.42923984	11.0261459	1201.061799	111.6997865	-0.00109525	-0.010941625	0.015896562	0.999813173	0.000698428	-0.005910148	-0.031188516	0.999495802
4.15	-184.7608005	-300.5588797	72.44177202	17.32581449	1200.77177	111.7035486	0.003438351	-0.008220919	0.014001131	0.999862272	-0.002444047	-0.006455479	-0.028157418	0.999579668
4.2	-189.5784547	-300.5669579	72.36854199	23.67470367	1200.727745	111.7575021	0.00189511	-0.012955131	0.018927584	0.999735125	-0.002768631	-0.005433362	-0.026592653	0.999627753
